iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,mean_FA_pred,n_observed_vols,n_holdout_vols,subject,sampling_ratio,lambda_dis,lambda_z,loss_signal,loss_dis,loss_z,loss_total
100,0.05547541752457619,-24.17165622168795,346.20403099305065,-20.168537696316772,172.5486933909758,0.174994996684426,0.000313041547903635,0.0004430073665173443,0.00032681008507940546,2.5673849867295963e-05,0.021274914498562114,0.000945118472506529,0.0007804416249956182,0.0007170700976440526,0.1254556030035019,63,45,120717,0.5,0.0,0.0,6.208613872528076,0.004309322219341993,0.0030694440938532352,6.208613872528076
200,0.1894976794719696,-23.109619057658136,271.0993047644523,-18.061737951548743,106.22621336641454,0.17726673854544805,0.0003146626668310732,0.00045159836528537307,0.0003273319800384729,9.397664584699673e-05,0.1646129396557972,0.0009472768654243446,0.0007805645225714166,0.0007158777643350026,0.12420783191919327,63,45,120717,0.5,0.0,0.0,10.108414649963379,0.2704567015171051,0.035788990557193756,10.108414649963379
500,0.362137109041214,-12.613982309730623,24.18603789740906,-6.346141743109207,7.156028798571243,0.18087230031206084,0.0003188846385744363,0.0004648003401462938,0.000330356361698009,0.0001782203026564663,0.5337619769291764,0.0009475769099119545,0.0007779348032234799,0.0007113514535714928,0.1237470954656601,63,45,120717,0.5,0.0,0.0,11.393632888793945,0.8115195631980896,0.13099367916584015,11.393632888793945
1000,0.5563938617706299,-4.486171602896174,3.7220624736745007,2.2145918481761115,0.9967786345623117,0.1861684055993489,0.0003297502887756089,0.00048095895318615156,0.000341648172204119,0.0002720558851778043,1.2258057911640783,0.0009411673908068471,0.0007725327964767942,0.0007048649202931191,0.1240304484963417,63,45,120717,0.5,0.0,0.0,1.251582384109497,1.4020086526870728,0.3095075190067291,1.251582384109497
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,0.12615421414375305,63,45,120717,0.5,0.01,0.0,,,,
10,0.018791096284985542,-24.216058134589254,349.7617486292846,-20.253298588715765,175.94938947712367,0.174646512682193,0.00031275625773293685,0.0004427138639926493,0.00032636636312993956,9.230516408229383e-06,0.007908039477317842,0.0009464800315666566,0.0007805298076190852,0.0007169480599447918,0.1259571611881256,63,45,120717,0.5,0.01,0.0,6782.0869140625,0.00037257091025821865,0.0003234396281186491,6782.0869140625
50,0.03149162977933884,-24.193234082406924,347.9284211459453,-20.23325437813358,175.13919256320546,0.1747261698086609,0.0003128397765445132,0.00044261796063682033,0.00032654620930575745,1.3903231836157994e-05,0.011448640489223888,0.000945901066810294,0.0007804904194179638,0.0007170105145440364,0.1258143037557602,63,45,120717,0.5,0.01,0.0,5.743505477905273,0.0012753912014886737,0.0009865020401775837,5.743518352508545
100,0.05547510087490082,-24.171651310652152,346.20363950305966,-20.16853841062335,172.54872177095322,0.1749949830212112,0.0003130415410335338,0.0004430072860746306,0.00032681009685409335,2.567369507861321e-05,0.021274652440885524,0.0009451183918868635,0.0007804416043784186,0.000717070096023582,0.1254555881023407,63,45,120717,0.5,0.01,0.0,6.208617210388184,0.0043090470135211945,0.0030694096349179745,6.208660125732422
200,0.18949560821056366,-23.10990401676093,271.1170933278235,-18.062066581263572,106.23425178561526,0.17726668322321026,0.00031466262918459885,0.0004515979287663687,0.0003273320491705421,9.397555723686014e-05,0.16460608135414145,0.0009472763298774633,0.0007805644151278687,0.0007158777953273859,0.12420777231454849,63,45,120717,0.5,0.01,0.0,10.108664512634277,0.2704252600669861,0.03578820824623108,10.111369132995605
500,0.3621346950531006,-12.614209146791652,24.187301195301004,-6.346441643797186,7.15652297295063,0.1808719928151395,0.0003188841902692099,0.00046479630510680973,0.00033035710547545376,0.00017821765296294063,0.5336412921225738,0.0009475706562216605,0.0007779333601559296,0.0007113512922447185,0.12374643236398697,63,45,120717,0.5,0.01,0.0,11.393549919128418,0.811328649520874,0.13099193572998047,11.401662826538086
1000,0.556390106678009,-4.489084195113948,3.7245595089035923,2.213742666670082,0.9969735550082469,0.18616718965774226,0.0003297484765124429,0.00048094005077912506,0.0003416524484388497,0.00027205013423011734,1.2248472511736535,0.0009411377096137472,0.000772525133134116,0.0007048635097058694,0.12402822822332382,63,45,120717,0.5,0.01,0.0,1.2517722845077515,1.4006743431091309,0.3095032572746277,1.2657790184020996
0,0.0,-24.211114565195476,349.36384172029904,-20.2717170914211,176.69717839682042,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0,0.0,0.000946077168327529,0.0007803006750012899,0.0007168438831373253,0.12615421414375305,63,45,120717,0.5,0.1,0.0,,,,
10,0.01879074051976204,-24.216059438854284,349.7618536690919,-20.253303829676824,175.94960180873113,0.17464650557861214,0.0003127562563330139,0.0004427138167472099,0.0003263663737724239,9.23032239827525e-06,0.007907842718066865,0.0009464799883332099,0.000780529799052322,0.0007169480619089615,0.1259571611881256,63,45,120717,0.5,0.1,0.0,6782.08203125,0.00037254305789247155,0.0003234261821489781,6782.08203125
50,0.031490396708250046,-24.193235866427724,347.92856407008895,-20.233273937175525,175.13998132812657,0.17472613040705293,0.0003128397421896012,0.0004426176859029355,0.00032654623841272526,1.3902559006613148e-05,0.01144779088422647,0.0009459007912236314,0.0007804903611565312,0.0007170105221256159,0.125814288854599,63,45,120717,0.5,0.1,0.0,5.74350643157959,0.0012740715174004436,0.0009864273015409708,5.74363374710083
100,0.05547240003943443,-24.17163266504498,346.2021531468024,-20.168568074454612,172.5499003430655,0.17499487372986347,0.000313041446797425,0.0004430065269109021,0.0003268101795821589,2.567241006514278e-05,0.021272372074090683,0.000945117607875475,0.0007804414415247855,0.0007170701203105537,0.1254555583000183,63,45,120717,0.5,0.1,0.0,6.208627700805664,0.00430653803050518,0.0030691158026456833,6.2090582847595215
200,0.18947695195674896,-23.112441359212955,271.2755383309462,-18.065014060189554,106.30637554288411,0.1772662009217468,0.0003146622921068497,0.0004515939448775157,0.0003273327067245401,9.396581394547905e-05,0.16454421482474782,0.0009472715365897657,0.0007805635276616423,0.0007158781652470573,0.12420724332332611,63,45,120717,0.5,0.1,0.0,10.110974311828613,0.27013999223709106,0.035781241953372955,10.137988090515137
