iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
1000,0.3441906273365021,-7.478219340306065,8.32501152054488,5.595281411792295,0.9886999235139429,1.9811558358559351,0.7963977193202041,0.1793871689484695,0.0003399828114859712,0.00046775167667522017,0.0003537482248914648,0.0007919747582328585,0.00017094674617632152,40,68,106319,0.25,combined,1.0,0.0,4.7761430740356445,1.3289884328842163,0.049666762351989746,0.11837221682071686,9.552285194396973
0,0.0,-17.735472002074985,88.33038214855918,59.367286653315674,-10.857478865965707,30.306551153446964,12.182821655035813,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,40,68,106319,0.25,combined,10.0,0.0,,,,,
10,0.015617470256984234,-17.793911617103802,89.52700805726897,60.17154484411211,-10.974199518198022,31.13211186122593,12.514685839031964,0.17325251825479068,0.0003323195818343874,0.0004443261008469723,0.00034862425431075433,0.0007723783248123679,6.475021920427464e-06,40,68,106319,0.25,combined,10.0,0.0,20.17024040222168,84.75506591796875,0.044452499598264694,0.0002173917309846729,64.62274169921875
50,0.04142354056239128,-17.529854312753095,84.24581584953535,56.62202944475081,-10.63926138135864,28.82137980638113,11.58580295908253,0.1734416997873326,0.0003328093223369457,0.0004444888252106163,0.0003493046891863559,0.0007726787053440877,1.8196589829075057e-05,40,68,106319,0.25,combined,10.0,0.0,1.6355746984481812,12.496063232421875,0.04132230952382088,0.0016684860456734896,17.991317749023438
100,0.05887596309185028,-17.152660317814007,77.23763030855744,51.91179328579127,-10.047471384854356,25.14987141246014,10.109906485688558,0.17401898944774485,0.00033326464675464306,0.00044705276848875004,0.0003492915096393202,0.000774545665999671,2.695761213347552e-05,40,68,106319,0.25,combined,10.0,0.0,7.867229461669922,51.27768325805664,0.04386598616838455,0.0034338091500103474,51.73321533203125
200,0.1318928450345993,-16.574023305122267,67.60288647914606,45.43623431232361,-7.67899083288797,14.577656539770953,5.860019798135188,0.17547219523947763,0.00033481967385444656,0.00045257281495640216,0.00035024956013120413,0.0007787756630526033,7.306475153369688e-05,40,68,106319,0.25,combined,10.0,0.0,15.602630615234375,3.658878803253174,0.0459480844438076,0.016942502930760384,61.550716400146484
500,0.2781468331813812,-12.115305306944698,24.21549994880145,16.27535726604231,-1.782508687258302,3.7500710765312952,1.5074776040259767,0.1781381061096444,0.0003380848758864821,0.0004631082627952536,0.00035223788329143965,0.0007875161715108257,0.00014401111864643682,40,68,106319,0.25,combined,10.0,0.0,0.8078710436820984,2.304946184158325,0.048260398209095,0.07725337147712708,8.886579513549805
1000,0.34088894724845886,-7.4822152568874625,8.332674836935178,5.6004319646348355,0.9107230258634093,2.017048439060553,0.8108260579775077,0.17936190076475228,0.00034017978133446135,0.00046728218337811593,0.00035415867557269493,0.0007917280683747261,0.00017098800180123406,40,68,106319,0.25,combined,10.0,0.0,5.348172664642334,1.409159541130066,0.04939591512084007,0.116109199821949,54.74408721923828
0,0.0,-16.252616823616705,74.17037443600401,42.195067149618474,-10.830517741174376,29.644441735591176,12.107424627757725,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,63,45,106319,0.5,combined,0.01,0.0,,,,,
10,0.010290221311151981,-16.247248900079207,74.07875573865395,42.14294583950993,-10.83375095309082,29.66651948533578,12.116441653389966,0.17335831172737248,0.00033236459918117227,0.00044489577178714835,0.0003485209468311027,0.0007727616700885763,2.33111456280344e-06,63,45,106319,0.5,combined,0.01,0.0,14.935842514038086,81.42256164550781,0.045128822326660156,9.238917846232653e-05,14.980971336364746
50,0.039278000593185425,-15.908397612852617,68.51861099620068,38.979813894263486,-10.392406016190288,26.799833977432737,10.945625922468283,0.17364170415997862,0.00033288968938736317,0.0004455282567391346,0.0003491362561808253,0.0007733787469910956,1.676949992858147e-05,63,45,106319,0.5,combined,0.01,0.0,1.187861442565918,12.105140686035156,0.04230014607310295,0.0014701567124575377,1.1997400522232056
100,0.06483408808708191,-15.611830634558963,63.995856009521596,36.40684656309739,-9.81610425588392,23.46939679420408,9.585404079430138,0.17416809132712355,0.000333400204055166,0.00044777482636257934,0.00034928339298157375,0.0007750974240462345,3.143096974760204e-05,63,45,106319,0.5,combined,0.01,0.0,5.794841289520264,51.10593795776367,0.04441284015774727,0.004170008469372988,5.839253902435303
200,0.15109948813915253,-14.815507190115644,53.27451542291104,30.307542232683176,-6.896090982155513,11.981207790561307,4.893381753233135,0.17582292650616604,0.00033521799565078156,0.0004536336541142434,0.0003506003987459766,0.0007795818046977251,8.311842295050262e-05,63,45,106319,0.5,combined,0.01,0.0,4.813401222229004,3.4422495365142822,0.04641364514827728,0.022391999140381813,4.859814643859863
500,0.2849026322364807,-9.855918237393569,17.00437260739982,9.673682376046857,-1.1999091240654334,3.227620122578232,1.3182291543791418,0.17834792483503928,0.0003381869205655687,0.00046362449892039934,0.00035230307803784793,0.0007878331789241184,0.00014692133293639823,63,45,106319,0.5,combined,0.01,0.0,0.5661874413490295,2.097201108932495,0.04859834536910057,0.08107060194015503,0.5718492865562439
