iteration,z_norm,PSNR_obs,RelMSE_obs,MSE_obs,PSNR_holdout,RelMSE_holdout,MSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_error,mean_delta_D,n_observed_vols,n_holdout_vols,subject,sampling_ratio,objective,lambda_shape,lambda_z,loss_L_signal,loss_L_directional,loss_L_angular,loss_L_z,loss_L_total
1000,0.36324456334114075,-2.597134608204725,3.6222925405770683,1.8185006508234567,nan,nan,nan,0.17999496941880141,0.00034149258412955076,0.00046831434616923954,0.00035583767846470826,0.0007932474663061984,0.0001810038215515872,108,0,106319,1.0,signal,0.0,0.0,1.9237511157989502,1.1779046058654785,0.049643516540527344,0.13187892735004425,1.9237511157989502
0,0.0,-25.516673196520525,449.9811846755954,356.17818756951306,-20.221954352360388,166.42182695791536,105.24353697830153,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0007509605315867634,0.0,40,68,120717,0.25,signal,0.0,0.0,,,,,
10,0.018632525578141212,-25.521942105440512,450.5274381431193,356.6105691371034,-20.207871457798934,165.88304387955202,104.90281582490766,0.17463122663805222,0.0003127451105914244,0.00044262738159127715,0.00032637285107473625,0.0007515400418552008,8.884073208092573e-06,40,68,120717,0.25,signal,0.0,0.0,9102.443359375,183.11074829101562,0.045574769377708435,0.00032052811002358794,9102.443359375
50,0.03053377754986286,-25.49119571445658,447.34913975745303,354.0948182632578,-20.21608856084827,166.19720131132246,105.10148591459428,0.17463510681689498,0.00031277339682283357,0.0004421191108315792,0.0003265834620698017,0.0007511571563791614,1.2367746608854473e-05,40,68,120717,0.25,signal,0.0,0.0,7.691572666168213,57.688594818115234,0.044886477291584015,0.0009283660328947008,7.691572666168213
100,0.049051593989133835,-25.45363299835252,443.49664105569394,351.04541075037326,-20.179310779171402,164.79571992566392,104.21520278255502,0.17477735984498824,0.00031286788567110485,0.0004419395610158468,0.00032684465900397337,0.0007509390847656278,2.1891778328615017e-05,40,68,120717,0.25,signal,0.0,0.0,8.535958290100098,60.17040252685547,0.04128305986523628,0.002400493249297142,8.535958290100098
200,0.09844894707202911,-25.40078015778048,438.1320774981404,346.79914315052156,-20.140350900021872,163.32397454940192,103.28448538952676,0.17507718845036194,0.00031322813156976,0.000441826341560157,0.0003275150329062728,0.0007509014153985594,4.1091434515839186e-05,40,68,120717,0.25,signal,0.0,0.0,20.92623519897461,94.67816162109375,0.042544227093458176,0.009679802693426609,20.92623519897461
500,0.32680702209472656,-15.916465663132708,49.33709807203854,39.05229545076812,-8.93212600789771,12.365948995653191,7.820105296193653,0.17945842625458666,0.0003171339270626629,0.00045910895156255223,0.000329215648148847,0.0007644302277537737,0.00015498376127140703,40,68,120717,0.25,signal,0.0,0.0,16.175626754760742,2.3964810371398926,0.04866870492696762,0.10670643299818039,16.175626754760742
1000,0.40051203966140747,-13.890382250850841,30.943202551098285,24.492788093333484,-5.499954496241863,5.61061281991995,3.548096716505211,0.1811978374042419,0.0003202012511109978,0.0004650898138519716,0.00033213001766329377,0.000771154969377017,0.0001919741326761849,40,68,120717,0.25,signal,0.0,0.0,250.79051208496094,39.14080810546875,0.04539300873875618,0.1597643345594406,250.79051208496094
0,0.0,-24.211114565195476,349.36384172029904,263.70080557830005,-20.2717170914211,176.69717839682042,106.45638368604715,0.17439340322873245,0.00031255708485506154,0.0004417832094499269,0.00032630802206275763,0.0007509605315867634,0.0,63,45,120717,0.5,signal,0.0,0.0,,,,,
10,0.018791137263178825,-24.216058126685084,349.7617479927173,264.0011463464364,-20.253298615681867,175.94939056962406,106.00585703604602,0.17464651358592645,0.00031275625955435037,0.00044271387022877843,0.00032636636362085757,0.0007516081120025615,9.230542174155557e-06,63,45,120717,0.5,signal,0.0,0.0,6782.0859375,213.48501586914062,0.04811866208910942,0.0003234411124140024,6782.0859375
