iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,dti_ref_scale,L_DTI_scaled,weighted_DTI,weighted_z
1000.0,0.396956205368042,0.5424124002456665,0.0007961360388435423,0.1575639247894287,-1.6200805293754579,2.8925316097278158,1.452138543724431,0.18028257290855526,0.00034201396291603,0.0004691191080475264,0.0003564117728487265,0.0007940662017443471,0.586963939422635,0.00019009511308428723,1.0,0.01,lambdaDTI=1.0_lambdaz=0.01,0.0007727638114817885,1.0302449817324353,1.0302449817324353,0.0015756392478942871
1000.0,0.3968861401081085,0.5418438911437988,0.0007961214287206531,0.15750867128372192,-1.6153957619818085,2.8894130963074462,1.4505729554620208,0.18028826674557116,0.00034203739830230493,0.0004690929914326447,0.0003564545802836411,0.0007940586257184048,0.5854955847542928,0.000190192452207586,1.0,0.1,lambdaDTI=1.0_lambdaz=0.1,0.0007727638114817885,1.0302260754085726,1.0302260754085726,0.015750867128372193
1000,0.38658204674720764,0.6400755643844604,0.0007870999979786575,0.14949287474155426,-7.404651834998214,10.958099617956567,5.50129815960907,0.17918777530115437,0.00033925819443034834,0.0004602521575292841,0.00035553371452925277,0.0007846619798249066,0.3492974073985779,0.00016271373646688044,1000.0,0.0,lambdaDTI=1000.0_lambdaz=0.0,0.0007727638114817885,1.0185518347053275,1018.5518347053275,0.0
1000,0.3865686058998108,0.640083372592926,0.0007870998233556747,0.14948245882987976,-7.404932741810613,10.95880842373583,5.5016540015949,0.17918769050709302,0.00033925824667331285,0.00046025191123005583,0.00035553381606046774,0.0007846618802631662,0.3492922016764782,0.0001627130451830775,1000.0,0.01,lambdaDTI=1000.0_lambdaz=0.01,0.0007727638114817885,1.018551608733329,1018.5516087333291,0.0014948245882987975
1000,0.3864211142063141,0.6401250958442688,0.000787101686000824,0.14936840534210205,-7.404958724061035,10.958873986474568,5.501686916077022,0.17918742909924362,0.00033925771927844126,0.0004602545610872948,0.0003555318905176372,0.0007846639566283788,0.34933209839657936,0.00016270528069758786,1000.0,0.1,lambdaDTI=1000.0_lambdaz=0.1,0.0007727638114817885,1.0185540191013116,1018.5540191013116,0.014936840534210205
1000,0.3848957419395447,0.6414943933486938,0.000787100289016962,0.14819732308387756,-7.424886010527264,11.009273521665849,5.526989010405368,0.1791798060300295,0.0003392419712721667,0.0004602595629119384,0.00035550433744864957,0.0007846610270899983,0.34921586318076725,0.00016251396018533075,1000.0,1.0,lambdaDTI=1000.0_lambdaz=1.0,0.0007727638114817885,1.0185522113253247,1018.5522113253247,0.14819732308387756
1000,0.5685029029846191,4.619107246398926,0.0007575586205348372,0.3225077986717224,-15.768066497099761,75.17556665904196,37.74041311244043,0.17081468796674626,0.0003287813047229413,0.00042210612123807877,0.0003505221908750281,0.000752204909072519,0.8165207670353269,0.00013875565254796598,5000.0,0.0,lambdaDTI=5000.0_lambdaz=0.0,0.0007727638114817885,0.9803236244748638,4901.618122374319,0.0
1000,0.5683706998825073,4.619032859802246,0.0007575618801638484,0.32235783338546753,-15.76821954431975,75.17821592462045,37.74174312406282,0.17081470073959185,0.00032877968262155424,0.00042210960807794536,0.00035051944898616605,0.0007522068349854444,0.8162216401508787,0.00013872275216999592,5000.0,0.01,lambdaDTI=5000.0_lambdaz=0.01,0.0007727638114817885,0.9803278426188331,4901.639213094166,0.003223578333854675
1000,0.5681623816490173,4.619161128997803,0.0007575639174319804,0.3221210241317749,-15.768256438144672,75.17885457508295,37.74206374595317,0.1708138163722075,0.00032877914144117655,0.00042210967331385985,0.0003505182946743138,0.0007522076439548642,0.8163763379121445,0.0001387107679496595,5000.0,0.1,lambdaDTI=5000.0_lambdaz=0.1,0.0007727638114817885,0.980330478958814,4901.65239479407,0.03221210241317749
1000,0.56305330991745,4.588125705718994,0.0007576611824333668,0.31633856892585754,-15.758200928900816,75.00498932708841,37.65477812142343,0.1708619776149032,0.0003288373365121937,0.0004222743981457095,0.00035055603644353793,0.0007523282558877877,0.8003887464909107,0.000137937985097692,5000.0,1.0,lambdaDTI=5000.0_lambdaz=1.0,0.0007727638114817885,0.9804563453619002,4902.2817268095005,0.31633856892585754
