iteration,z_norm,PSNR_obs,RelMSE_obs,PSNR_holdout,RelMSE_holdout,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_abs_D_drift,mean_rel_D_drift,mean_lambda1,mean_lambda2,mean_lambda3,n_observed_vols,n_holdout_vols,subject,lambda_dis,lambda_z,sampling_ratio
50,0.06622534245252609,-25.0794151084566,97.83704266098849,-19.547635688233033,23.177709994555453,0.1756589862811373,0.0003107208512346221,0.0004248010198670484,0.00032419831663041686,3.6876131980313496e-05,0.03980511885992993,0.000922692493765706,0.0007788197785326204,0.0007172467967164753,63,45,121618,0.1,0.0,0.5
100,0.10740160197019577,-24.091584047615676,77.93278754984676,-18.021598419131315,16.31048208803648,0.1763667110919141,0.0003117822166280346,0.0004279661828761029,0.0003247533101897071,6.058277121880583e-05,0.08194877798795801,0.0009222676851505279,0.0007778170388337895,0.0007159406642326228,63,45,121618,0.1,0.0,0.5
200,0.16106410324573517,-22.751202295005854,57.23768172386904,-16.866968295267,12.502699273828547,0.17727886436783635,0.00031321477233679307,0.00043217151783715127,0.00032548919193226076,8.806121985303158e-05,0.1542572082954984,0.0009220086114791512,0.0007766170644240273,0.0007142215015151744,63,45,121618,0.1,0.0,0.5
500,0.24260394275188446,-20.863404026594402,37.059726382872206,-15.629351451679764,9.40247312818097,0.17890310077027646,0.00031637379685093024,0.00043871869738354685,0.00032800138078335376,0.00012817739271625436,0.29009204890953083,0.000919174166752355,0.0007736062954195431,0.0007107938829991114,63,45,121618,0.1,0.0,0.5
1000,0.3836243450641632,-18.09297143402643,19.582085807218718,-11.984952150705869,4.0625822884946645,0.18224481832592335,0.0003257826433966378,0.00045164932717279036,0.00033714983419164926,0.00019981818923887193,0.5414264512502424,0.0009081185135881772,0.0007650401928807086,0.0007023784519016071,63,45,121618,0.1,0.0,0.5
0,0.0,-27.558568981992554,504.65425250212087,-23.318394741191945,170.5092175678996,0.1566807853915402,0.0003758220527910952,0.0004692771534623666,0.00038830204935810363,0.0,0.0,0.0009036691894403113,0.0007836907414517349,0.0007275344335784575,63,45,116726,0.0,0.0,0.5
10,0.020514335483312607,-27.50540876660283,498.5146386346892,-23.30132034356678,169.8401723035715,0.1565235765382567,0.00037541278545403877,0.00046866481006887996,0.000387935483301683,8.827495411477277e-06,0.01271642653335192,0.000904298510208271,0.0007838741984960532,0.0007276450034621278,63,45,116726,0.0,0.0,0.5
50,0.05959467962384224,-27.45714247387578,493.004957475552,-23.273975924323153,168.774169588386,0.15621658054410908,0.0003746510345524398,0.0004675069557345538,0.000387256378790454,2.7836119222337124e-05,0.1329009410047575,0.000905735681264311,0.0007842193665093239,0.0007277684232748487,63,45,116726,0.0,0.0,0.5
100,0.07748288661241531,-27.371970526579943,483.4305498322424,-23.251234918515067,167.89272547138665,0.15593924154442682,0.0003742438753278758,0.0004661213049727417,0.00038712153279453775,3.402700558389071e-05,0.39427213755320284,0.0009055303056807124,0.0007842821274771603,0.0007280368477944133,63,45,116726,0.0,0.0,0.5
200,0.1479019969701767,-27.30007062989372,475.49297172914777,-23.18929843925128,165.51533269409381,0.15529253077640856,0.000373555352534018,0.00046285445380394295,0.0003870880401596311,5.619349333689937e-05,2.117538529482244,0.0009042696435408948,0.0007840995186382226,0.0007284607564756282,63,45,116726,0.0,0.0,0.5
