iteration,latent_norm,L_signal,L_DTI,L_z,PSNR,RelMSE,MSE,FA_MAE,MD_MAE,AD_MAE,RD_MAE,mean_D_fro_error_vs_wls,mean_relative_delta_D,mean_delta_D_fro,lambda_DTI,lambda_z,tag,weighted_DTI,weighted_z
10,0.021737832576036453,6.759749889373779,0.0007853517890907824,0.0003853458911180496,-14.418311233932396,55.09360412834103,27.658659216860794,0.17372734912034157,0.0003325529291467301,0.0004459830817900131,0.00034859617562905005,0.0007733548069151586,0.011212670082294056,1.2160867920376826e-05,0.1,0.0,lambdaDTI=0.1,7.853517890907825e-05,0.0
20,0.03817201778292656,1.935301661491394,0.00079911551438272,0.0013712794752791524,-14.201470057870154,52.41035078795388,26.311584707787354,0.17396634723494275,0.00033276364902090443,0.0004467949144582097,0.00034871758894692754,0.0007739036827629341,0.02022204823860534,2.1072269000192236e-05,0.1,0.0,lambdaDTI=0.1,7.9911551438272e-05,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,1.0,0.0,lambdaDTI=1.0,nan,nan
10,0.021737780421972275,6.75975227355957,0.0007853517308831215,0.00038534379564225674,-14.41831165999771,55.093609533308374,27.65866193031823,0.17372734730942488,0.00033255292688801335,0.00044598306703191697,0.00034859617672501413,0.0007733547925050146,0.011212617340429241,1.2160832846656732e-05,1.0,0.0,lambdaDTI=1.0,0.0007853517308831215,0.0
20,0.03817193582653999,1.9353035688400269,0.00079911551438272,0.0013712737709283829,-14.201468999101046,52.410338010804765,26.31157829327121,0.1739663458668899,0.00033276364435654124,0.0004467948926417346,0.00034871759046574337,0.0007739036583686348,0.0202219515569249,2.1072219382694043e-05,1.0,0.0,lambdaDTI=1.0,0.00079911551438272,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,10.0,0.0,lambdaDTI=10.0,nan,nan
10,0.021737225353717804,6.759783744812012,0.0007853516144677997,0.000385321764042601,-14.418325052335973,55.09377942572546,27.658747221461226,0.17372733361675627,0.000332552899277425,0.0004459829171135131,0.0003485961870789539,0.0007733546391762351,0.011212140102985674,1.2160504399163732e-05,10.0,0.0,lambdaDTI=10.0,0.007853516144677997,0.0
20,0.038171108812093735,1.9353147745132446,0.0007991152233444154,0.001371215097606182,-14.201474093289788,52.410399487135116,26.31160915625246,0.17396633145791982,0.0003327636003030326,0.00044679468990397247,0.00034871760342112715,0.0007739034392030039,0.020221055957721876,2.10717510105006e-05,10.0,0.0,lambdaDTI=10.0,0.007991152233444154,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,100.0,0.0,lambdaDTI=100.0,nan,nan
10,0.021731728687882423,6.760095596313477,0.0007853498682379723,0.0003851035435218364,-14.418410479508522,55.09486314939382,27.659291283591532,0.17372721076270817,0.00033255265215133246,0.0004459814498039071,0.00034859632576930726,0.0007733531552690493,0.01120741329939929,1.2157344387685245e-05,100.0,0.0,lambdaDTI=100.0,0.07853498682379723,0.0
20,0.03816135600209236,1.935439944267273,0.0007991119637154043,0.001370514975860715,-14.201524005408523,52.41100182707338,26.311911549159017,0.17396617926672597,0.00033276318862283895,0.0004467926020302652,0.0003487177834501471,0.0007739012128575944,0.020211201236068916,2.1066421019924027e-05,100.0,0.0,lambdaDTI=100.0,0.07991119637154043,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,1000.0,0.0,lambdaDTI=1000.0,nan,nan
10,0.021676212549209595,6.763368606567383,0.0007853328716009855,0.0003829360066447407,-14.419315532963687,55.10634590922809,27.66505597708273,0.17372592420452612,0.00033255025040759026,0.00044596627134985123,0.0003485979001984713,0.0007733380744413722,0.011158586067184284,1.2124680506709152e-05,1000.0,0.0,lambdaDTI=1000.0,0.7853328716009855,0.0
20,0.038133375346660614,1.9358726739883423,0.0007990853628143668,0.0013686890015378594,-14.201503449815485,52.410753761136654,26.311787012539643,0.17396562919401026,0.00033276019947363296,0.00044677734691019435,0.00034871925866152335,0.0007738838911891102,0.020157309931951403,2.104753406143906e-05,1000.0,0.0,lambdaDTI=1000.0,0.7990853628143668,0.0
0,0.0,nan,nan,nan,-14.721499063347508,59.07720864650867,29.658549432176496,0.17340725400929372,0.00033228888092181474,0.0004450402273260078,0.00034840263590245715,0.0007727638114817885,0.0,0.0,10000.0,0.0,lambdaDTI=10000.0,nan,nan
10,0.021381784230470657,6.79518985748291,0.0007851902046240866,0.00037103332579135895,-14.428177223230975,55.21890408065276,27.721563590893144,0.17371441528657106,0.0003325286633514206,0.0004458376749432881,0.0003486093790750747,0.0007732102040503254,0.010749712016541763,1.1854140555992181e-05,10000.0,0.0,lambdaDTI=10000.0,7.851902046240866,0.0
20,0.03769088163971901,1.9462074041366577,0.0007988219149410725,0.0013375848066061735,-14.205430761173059,52.458170077109095,26.335591440395657,0.17395328320891973,0.00033272981955192896,0.00044660748399576996,0.0003487361004959975,0.0007737064748437129,0.019437484477056677,2.06713599308408e-05,10000.0,0.0,lambdaDTI=10000.0,7.988219149410725,0.0
